ID,Lifecycle phase (primary),Cust Journey Phase,Level,Type,KPI,Description,Owner,Why important?,Do we measure it?,How do/should we measure it?,Where store?,Review cadence,Influences,Initiatives,Notes
1,0. Overarching,,Biz Goal KPI,n.a.,Revenue growth,Year-over-year top-line revenue increase,Finance / Paul (Global CX),The ultimate measure of whether the business is healthy and growing,Yes,,,,,,
2,0. Overarching,,Biz Goal KPI,n.a.,Customer net growth,New customers minus churned customers in period,Sales / Tuhin (CX & Marketing),Shows whether the customer base is expanding or contracting -- a leading signal for future revenue,Yes,needs to be automated with CRM,PowerBi,"Monthly review with ZBH,SM,TM",Customer creation,One customer per month per TM- Wave creation,
3,0. Overarching,,Biz Goal KPI,n.a.,Churn rate,% of customers lost in a given period,Sales / CX,Indicates customer satisfaction; competitive pressure; and revenue at risk,Yes,"Region specific manual tracking. Need to automate the manual tracking, TM needs to analyse data","manual excel, CCR report (CA provides)","Monthly review with ZBH,SM","Margin, vol, Business strategy kpis","Qtlry Sales incentive program, monthly incentive to franchisee,",
4,0. Overarching,,Biz Goal KPI,n.a.,CLTV,Total revenue expected from a customer over their entire relationship,Finance,Prioritizes retention over acquisition; justifies CX investment,No,"CLT currently available in ZNCL, measurement to be setup via CRM",,,,,
5,0. Overarching,,Biz Goal KPI,n.a.,Margin per customer,Revenue per customer minus cost-to-serve,Finance,Reveals which segments are profitable; guides resource allocation,Yes,"Highlighting Negative Margin Customer, Low Margin Customer","PBI , SAP",weekly / Monthly,,,
6,0. Overarching,,Biz Goal KPI,n.a.,Market share,Supergas share of industrial LPG in served regions,Marketing / Strategy,Contextualizes growth against the addressable market; important for strategic planning,No,Challenges in getting the market share,,,,,
7,1. Orientation,,KPIs,Behavioral,Cold-to-qualified conversion rate,% of cold contacts that agree to a first discovery meeting or a technical site audit,"Marketing (Ashee, Pandiaraj)",Measures marketing and sales effectiveness at the very top of the industrial sales funnel,Yes,"AS-IS: Manual Excel / Maadhyam 
To Be: will automated in CRM",Maadhyam/STF --> CRM,No,Customer Creation,One customer per month per TM- Wave creation,
8,1. Orientation,,KPIs,Behavioral,Qualified-to-client conversion rate,% of qualified leads that become signed customers,Sales (Avinash / Shourajit)/ Marketing,Each qualified lead represents significant sales investment; low close rate means wasted pipeline effort,Manthan tracking is in process,will be automated in CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
9,1. Orientation,,KPIs,Experience,Sales transparency & trust score,"Post-proposal survey question: ""Did the Supergas team provide clear, unbiased information regarding the cost-benefit analysis of switching your fuel source?""",CX (Akhil)  / Sales/ Technical team,Switching fuel sources is a high-risk decision for industrial buyers; perceived trust directly determines willingness to convert,No,Feedback survey to be added through CRM,,,Customer creation and customer retention,,
10,1. Orientation,,KPIs,Experience,Consultative capability score,"Post-proposal survey question: ""How effectively did our engineering team address your specific manufacturing energy needs and transition concerns?""",CX (Akhil) / Sales,The engineering team's ability to address specific energy needs is the core value proposition in industrial LPG,No,Feedback survey to be added through CRM,,,Customer creation and customer retention,,
11,1. Orientation,,KPIs,Operational,Lead-to-deal velocity,Total business days from the moment an industrial lead is qualified to the moment the formal contract is signed,"Sales (Avinash / Shourajit)/ ,marketing",Industrial buyers compare multiple suppliers; speed from qualification to signed contract is a competitive differentiator,Yes,will be automated through CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
12,1. Orientation,Awareness,Metrics,Operational,Cold reachout volume,Total cold reachouts by SHV by channel,"Marketing (Ashee, Pandiaraj)","Start of funnel, leads directly to new customers",Yes,will be automated through CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
13,1. Orientation,Consideration,Metrics,Behavioral,Inquiry volume by channel,Total incoming inquiries by source,"Marketing (Ashee, Pandiaraj)",Volume signal; low volume means pipeline is drying up,Yes,Manual Excel / Maadhyam,Maadhyam --> CRM,yes,Lead Creation,One customer per month per TM- Wave creation,
14,1. Orientation,Consideration,Metrics,Operational,Unanswered lead volume,Total count of unique unmapped interactions that reach out but leave without an interaction,"Marketing (Ashee, Pandiaraj)",Shows possible leads that we are missing,Yes,"Industrial: Manual Excel 
Retail: No
To be: should automate in CRM via CTA link (phone call)",Excel --> CRM,NO,Lead Creation,One customer per month per TM- Wave creation,
15,1. Orientation,Consideration,Metrics,Behavioral,Form-type error rate,Total of inquiries from industrial clients that come from an incorrect form or phone number,"Marketing (Ashee, Pandiaraj)",Shows clarity of contact channels for industrial type customers ,Yes,"Industrial: Manual Excel 
Retail: No
To be: should automate in CRM via CTA link (phone call)",Excel --> CRM,NO,Lead Creation,One customer per month per TM- Wave creation,
16,1. Orientation,Consideration,Metrics,Operational,Lead source breakdown,% of qualified leads by original source,"Marketing (Ashee, Pandiaraj)",Reveals which channels produce quality leads not just volume,Yes,Manual Excel / Maadhyam,Maadhyam --> CRM,yes,Lead Creation,One customer per month per TM- Wave creation,
17,1. Orientation,Consideration,Metrics,Operational,Lead-to-quote velocity,Total business days from the moment an industrial lead is qualified to the moment the formal technical-commercial proposal is sent,Sales (Avinash / Shourajit)/ marketing,Industrial buyers comparing suppliers will go with whoever moves fastest; response time is a competitive differentiator,Yes,will be automated in CRM,STF --> CRM,yes,Customer Creation,One customer per month per TM- Wave creation,
18,1. Orientation,Consideration,Metrics,Operational,Proposal redline & revision rate,The number of times a commercial proposal or Gas Supply Agreement (GSA) goes back and forth due to client objections,Sales (Avinash / Shourajit)  / Operations,Frequent revision cycles signal misalignment between what sales promises and what operations can deliver,No,"Automation - CRM, Monthly review required",,,,,
19,1. Orientation,Consideration,Metrics,Operational,Technical feasibility turnaround time,The net days from the first industrial site inspection to the delivery of the engineering feasibility report,Engineering  (Gajadharane) / Technical team,The engineering report is a critical trust milestone; slow turnaround undermines perceived technical competence,No,CRM- Pre sale deliverable tracker,SAP,,Customer satisfaction,,
20,1. Orientation,Consideration,Metrics,Behavioral,Site audit access response time,How many days it takes for the prospective client to grant your engineers physical access to their plant for the initial energy audit,Technical (Gajadharane) ,Separates customer-caused delay from internal delay -- necessary to measure your own sales velocity accurately,No,CRM - Pre sale deliverable tracker,SAP,,Customer satisfaction,,
21,1. Orientation,Decision,Metrics,Behavioral,Application abandonment rate,% of prospects who start but don't complete the application/contract process,Marketing/ Sales (Avinash / Shourajit),Flags friction in paperwork; KYC; or compliance steps,"Lost prospect is reviewed,","Manual tracking, this will get covered in CRM",STF --> CRM,Partial,Customer Creation,One customer per month per TM- Wave creation,
22,1. Orientation,Decision,Metrics,Behavioral,Contract acceptance rate,Number of contract iterations needed to get to the final contactper client,Sales (Avinash / Shourajit)/ Legal,Knowing if the current template is understandable,Currently SLA available with Legal,CLM to overcome manual tracking,,,Customer satisfaction,"CLM, Contract simplification project",
23,2. Onboarding,,KPIs,Behavioral,Lead-to-active conversion,% of signed contracts that reach first successful delivery (Customer commissioning),Operations (Shivam / Samriddhi) / Sales,Measures the onboarding handoff; drop-off here means wasted acquisition spend,Yes,"Manual tracking by Sales team, Automation from CRM as well",,,Customer conversion,,
24,2. Onboarding,,KPIs,Experience,Progress communication CSAT,How satisfied were you with the updates and transparency provided by Supergas regarding your installation timeline?,CX (Akhil),Happy onboarding predicts retention; being left in the dark during installation erodes trust before the relationship starts,No,"In CRM, commucation to the customer on the task list with timeline is fixed",,,Customer satisfaction,,
25,2. Onboarding,,KPIs,Experience,Handover Customer Effort Score,"Asked right after the first delivery: ""How easy or difficult was it to coordinate the site preparation and installation with the Supergas engineering team?""",CX (Akhil)/Technical,High effort during onboarding sets a negative baseline for the entire relationship; measures whether the handoff from sales to operations is smooth for the customer,Yes,Currently manul tracking documented; in CRM this is automatedq,,,Customer satisfaction,,
26,2. Onboarding,Preparing for installation,Metrics,Behavioral,Customer-Induced Delay Incidents,"The number of days a project is stalled because the client failed to provide site access, complete civil foundations, or clear local statutory permissions",Technical,Distinguishes client-caused stalls from Supergas-caused delays; identifies where proactive client enablement support is needed (relevant for new-built projects,Yes,"Project WIP tracker, manuel excel. Will be developed in CRM",Manual tracking,Bi-Monthly,"Customer satisfaction, faster prject execution",,
27,2. Onboarding,Installation,Metrics,Operational,Installation lead time,Days from contract signed to equipment installed,Technical,Customers want to start using product; long waits erode goodwill,Yes,"Project WIP tracker, manuel excel. Will be developed in CRM",Manual tracking,Bi-Monthly,"Customer satisfaction, faster prject execution",,
28,2. Onboarding,Installation,Metrics,Operational,Right-First-Time (RFT) Installation Rate,The percentage of gas system installations that pass the final internal safety check and statutory inspections on the very first attempt without requiring engineering re-work,Technical,Installation rework is expensive and delays the customer's first use of LPG; high first-pass rate signals engineering quality,No,,,,,,
29,2. Onboarding,First fill/delivery,Metrics,Experience,Training quality CSAT,"Post training survey question: ""How satisfied are you with the training provided?""",CX (Akhil),Measuring the quality of the training ,Yes,Currently feedback taken from participants post the training,Manual tracking in excel,Post training session,Customer satisfaction,,
30,2. Onboarding,First fill/delivery,Metrics,Operational,First delivery on-time %,% of first deliveries that arrive on promised date,Operations (Shivam / Samriddhi)/ Sales/technical,Reliability signal at the very first service interaction,No,"For every order, on time delivery to be tracked; presently data is available in powerbi",PowerBi,,Customer retention,,
31,"3. Usage, Order & Delivery",,KPIs,Experience,Relationship NPS,Annual/biannual 'How likely are you to recommend Supergas?',CX (Akhil) / Paul (Global CX),Established benchmark; measures overall brand health and loyalty,Yes,Currently done through external vendor; needs to uploaded in CRM platform,Manual excel,Yearly,Customer satisfaction,,
32,"3. Usage, Order & Delivery",,KPIs,Experience,Delivery & Logistics CSAT,"Periodic pulse check: ""Rate your satisfaction with the safety compliance, professionalism, and scheduling predictability of our delivery team.""",CX (Akhil),The delivery team is the most frequent face-to-face touchpoint; their professionalism shapes the ongoing relationship more than any other interaction,Yes,"Currently CSAT rasied after every order, but customer updates optionally",SG Care App,,Customer satisfaction,,
33,"3. Usage, Order & Delivery",,KPIs,Experience,Proactive communication CSAT,"""When there is a delivery delay, price change, or issue affecting your LPG supply, how satisfied are you with Supergas proactively informing you before you had to ask?""",CX (Akhil),Being surprised by a supply problem is far worse than being informed ahead of time -- this is a critical trust driver in industrial supply relationships,No,"Pro active communication on Price change, Supply issues during crisis period in place. CES feedback is taken twice a year on communication parameter. To be stored in CRM",Manual,twice a year,Customer satisfaction,,
34,"3. Usage, Order & Delivery",,KPIs,Experience,Safety perception score,"""How confident are you that Supergas equipment and bulk LPG installations on your site meet the highest safety standards?""",HSE / CX (Akhil),Safety is the number one concern for industrial LPG buyers; perceived safety risk trumps price and service quality in retention decisions,No,Needs to be captured via SG Care App after evert safety audit,,,Customer satisfaction,,
35,"3. Usage, Order & Delivery",,KPIs,Behavioral,Dry out rate,Amount of customers that run out of gas without placing an order on time,Sales/Ops,Help reduce the amount of customers that run out of gas,Yes,Needs further checking for 2026 data,Powerbi,,,,
36,"3. Usage, Order & Delivery",Manage safety,Metrics,Behavioral,Audit Hazard Rectification Rate,"When Supergas conducts mandatory safety audits at the client's plant, how quickly (or slowly) does the client act on the safety recommendations provided?",Technical,Slow rectification of safety findings signals either customer disengagement or a deteriorating relationship,Yes,"Create the scope of work, tracking through SG Care App",,,Customer satisfaction,,
37,"3. Usage, Order & Delivery",Manage safety,Metrics,Operational,Audit Frequency,Frequency in which Supergas has to do an audit to customers,Technical,,Yes,Tracking is being done through SG Care App,SG Care App,,"Safety, Compliance",,
38,"3. Usage, Order & Delivery",Manage safety,Metrics,Operational,Issues by type,Amount of issues during the audit sorted out by type of issue,Technical,,"Tech audit, Sales audit - PowerApp","Tech - Track through SG Care, Sales - powerApp",SG CARE and Power App,,"Safety, Compliance",,
39,"3. Usage, Order & Delivery",Order creation,Metrics,Behavioral,Order frequency,Average number of orders per customer per month/quarter,Sales/CS,Declining frequency signals dissatisfaction or competitive encroachment,Yes,SG Care App; CA takes report from SG Care and SM reviews with team,SG Care,"Ind -Weekly, Franchisee - Daily","Vol, margin, business KPIs, customer creation",,
40,"3. Usage, Order & Delivery",Order creation,Metrics,Operational,Order volume,Number of cylinders ordered per customer,Sales (Avinash / Shourajit)  / Operations,,Yes,CTR;,Powerbi,Monthly,"Vol, margin, business KPIs, customer creation",,
41,"3. Usage, Order & Delivery",Order creation,Metrics,Behavioral,Order channel mix,Amount of orders created in each channel,Sales,Identify when people avoid the app can help with the digital adoption,Yes,,SG Care App,,Customer satisfaction,,
42,"3. Usage, Order & Delivery",Order creation,Metrics,Operational,Order drop off,Amount of orders left incomplete in the app or other channels,Sales,Understand when the app or other systems are having failures,No,Should be monitored through SG care,,,Customer satisfaction,,
43,"3. Usage, Order & Delivery",Order creation,Metrics,Operational,Customers gas levels,Amount of product customers have at all moments,Operations,Make sure customers are not left out of gas,No,,,,Customer satisfaction,,
44,"3. Usage, Order & Delivery",Order creation,Metrics,Behavioral,Urgent orders,Number of orders placed when they are about to run out of gas,Sales,Prevent last-minute orders,Yes,Urgent order registered by Customer service tracked by Sales team,Powerbi,,,,
45,"3. Usage, Order & Delivery",Order creation,Metrics,Experience,Order placement CES,"""How easy or difficult is it to place, modify, and track your LPG orders with Supergas?""",CX (Akhil),"Ordering friction is a hidden churn driver; if placing orders is hard, customers will seek alternatives with simpler processes",No,Ordering  currently not added in CES feedback; To be added in CES for monitoring,,,,,
46,"3. Usage, Order & Delivery",Planning,Metrics,Behavioral,Order Cancellation & Reschedule Rate,How often a client cancels or shifts a scheduled tanker delivery within 24-48 hours of the delivery window,Operations (Shivam / Samriddhi)/ Sales,Frequent last-minute cancellations create operational waste and may indicate the customer is sourcing from competitors,Yes,Sales reviews with OPS- Filled return analysis,Manual tracking in excel,Monthly,,,
47,"3. Usage, Order & Delivery",Delivery,Metrics,Operational,On-time delivery %,% of deliveries arriving within promised window,Operations (Shivam / Samriddhi),Core operational reliability; directly drives customer trust and satisfaction,Yes,on-time delivery if it happens within 2hrs from the promised time,Manual tracking in excel,Monthly,,Order to delivery initiative,
48,"3. Usage, Order & Delivery",Delivery,Metrics,Behavioral,Per-delivery feedback rate,% of deliveries that generate customer feedback,CX (Akhil),Low feedback rate means you're flying blind on daily experience,No,CSAT currenlty available only on orders and complaints,,,,,
49,"3. Usage, Order & Delivery",Delivery,Metrics,Experience,Complaint volume by type,Number of complaints categorized by issue type (late delivery; product quality; billing; etc.),CX (Akhil) / Operations,Identifies systematic problems; rising complaints in one category demands immediate attention,Yes,Categorization as per complaint raised in SG care,,Daily,,,
50,"3. Usage, Order & Delivery",Delivery,Metrics,Operational,Credit note  turn around time,Amount of time that it takes customers to receive the credit note for the unfinished cylinders they returned,Finance/CS,The client gets back the correct amount of credit on time to avoid frustrations,,,,,,,
51,4. Invoicing and payment,,KPIs,Experience,Billing CSAT,Customer satisfaction with invoicing clarity; accuracy; and process,CX (Akhil) / Finance,Billing frustration is a leading cause of churn in B2B; often overlooked,No,,,,,,
52,4. Invoicing and payment,,KPIs,Experience,Billing Customer Effort Score (CES),"A brief quarterly question sent specifically to the client's Accounting/Finance team (not the plant manager): ""How easy or difficult does Supergas make it to reconcile and pay your energy invoices?""",CX (Akhil) / Finance,The client's finance team has a separate experience from the plant manager; billing friction can kill a contract even when operations are satisfied,No,,,,,,
53,4. Invoicing and payment,,KPIs,Experience,Dispute satisfaction,Customer satisfaction with how billing disputes are resolved,CX (Akhil) / Finance,Billing disputes are high-emotion moments; poor handling accelerates churn,No,,,,,O2C Cycle Automation ,
54,4. Invoicing and payment,,KPIs,Operational,Revenue leakage,Revenue lost to billing errors; unbilled services; incorrect rates; or disputes,Finance (Azir),Direct margin loss; every % of leakage is pure profit lost,No,,,,,,
55,4. Invoicing and payment,,KPIs,Operational,Dispute resolution time,This tracks how many hours/days it takes to issue a credit note or correct an invoice error,Finance (Azir),Slow resolution keeps the customer in a state of frustration,No,we have TAT defined for vraious AR activities - CN / DN - 3 days max,SAP,Regular / Monthy,,,"CN are issued on Monthly Basis against pre-agreed discount (generally at the end of the Month) however CN related to Price difference / errors in Billing etc are issued during the month within 3 Days once it is approved by ZSH, Gas Residual / Filled / Defective returns related CN are issued by Plant on daily basis post their inspection and review"
56,4. Invoicing and payment,Receive invoice,Metrics,Operational,Invoice accuracy rate,% of invoices with no errors (wrong amount; wrong product; wrong customer),Finance (Azir),Errors trigger disputes; slow payment; and erode trust,No,,SAP,,,,"Invoicing cycle is automatically done in SAP on the basis of Customer master / Price / Tax conditon / Material etc updated in SAP, these fields are updated by ERP team hence no end -user can modify it, any error in billing can only be a result of wrong updation in SAP."
57,4. Invoicing and payment,Payment,Metrics,Behavioral,Portal adoption rate,"The percentage of clients who utilize an online customer portal to view, verify, and pay their bills versus those who require manual paperwork, phone call reminders, and physical checks",Finance (Azir) / Sales,"Self-serve customers have lower cost-to-serve, fewer billing disputes, and faster payment; low adoption means high manual overhead",No,,,,,,Many Big Corporate Houses like - Asian Paints etc want that Invoice copy should be direclty uploaded in their System for processing & payment
58,4. Invoicing and payment,Reminder,Metrics,Behavioral,Payment delinquency rate,% of invoices not paid within terms,Finance (Azir),Cash flow risk; high delinquency suggests customer dissatisfaction or affordability issues,Yes,"Various KPI's are in place to measure the AR performance like DSO , CEI , % Overdue etc",PBI - AR Dashboard,weekly / Monthly,,,
59,5. Support & Service,,KPIs,Experience,Maintenance & Support CSAT,Customer satisfaction with maintenance and support interactions,CX (Akhil),Measures whether support is solving problems effectively,No,Need to tracked through CRM,,,Customer satisfaction,,
60,5. Support & Service,Customer service,Metrics,Operational,Resolution rate,% of complaints resolved within SLA timeframe,Operations (Shivam / Samriddhi),Core service quality; slow resolution erodes trust faster than the original problem,Yes,Tracking with stipulated TAT of 4 days,Manual tracking in excel,Monthly,,,
61,5. Support & Service,Customer service,Metrics,Experience,Complaint resolution NPS,'How likely are you to recommend Supergas after your issue was resolved?',CX (Akhil),The moment of truth -- a well-handled complaint can increase loyalty more than no complaint at all,No,CSAT complaint closure feedback available,,,Customer satisfaction,,
62,5. Support & Service,Customer service,Metrics,Behavioral,Repeat complaint rate,% of customers who log more than one complaint in a period,CX (Akhil) / Operations,Indicates unresolved systemic issues; repeat complaints mean the fix didn't work,Yes,A3 problem solving - RCA,Manual tracking in excel,Monthly,Customer satisfaction,,
63,5. Support & Service,Customer service,Metrics,Behavioral,Support ticket volume by type,Number of tickets categorized (delivery issue; equipment failure; billing; emergency),Operations / CX,Identifies problem hotspots; rising volume in a category demands root cause investigation,Yes,,Manual tracking in excel,Bi-Monthly,Customer satisfaction,,
64,5. Support & Service,Customer service,Metrics,Experience,Sentiment by issue type,Qualitative sentiment analysis of customer feedback by issue category,CX (Akhil),Reveals which issues are emotionally charged vs. transactional,No,Needs to be through CRM,,,Customer satisfaction,,
65,5. Support & Service,Customer service,Metrics,Operational,First response time,Time from ticket created to first human response,Operations (Shivam / Samriddhi),Speed of acknowledgment; sets the tone for the support experience,Yes,Responding back as per the guidleines,Manual tracking in excel,Monthly,,,
66,5. Support & Service,Customer service,Metrics,Operational,First contact resolution rate,% of tickets resolved on first interaction without escalation or follow-up,CS/Sales,Efficiency and effectiveness in one metric; high FCR = lower cost and happier customers,Yes,Overall complaint tracking ongoing;but FCR tracked,SG Care App,,,,
67,5. Support & Service,Maintenance and inspection,Metrics,Operational,First-Time Fix Rate (FTFR) for Technical Faults,This tracks the % of technical issues resolved during the very first maintenance visit,Technical,Equipment downtime stops the customer's production; fixing on the first visit minimizes production loss and demonstrates technical competence,Yes,,SG Care App,,,,
68,6. After care,,KPIs,Behavioral,Win-back rate,% of churned customers who return within X months,Sales (Avinash / Shourajit),Some churn is recoverable; measuring this tells you whether win-back efforts work,Yes,Manual tracking through MIS; CRM tracking going forward,,Monthly,Customer Creation,,
69,6. After care,,KPIs,Experience,Exit NPS,NPS collected from customers at point of departure,CX (Akhil),The most honest feedback you'll ever get; reveals real reasons for leaving,No,Need to be added through CRM,,,Customer satisfaction,,
70,6. After care,,KPIs,Operational,Account closure time,Days from churn notification to final account closure and settlement,Finance,Efficient offboarding matters; drawn-out closure leaves a bad last impression and ties up resources,No,CCR Report,PBI / SAP,Monthly,,,"Accounts Clousre / F&F Settlement generally depends upon Negotiation and recovery from customer which sometime takes longer time than expected, Successful termination cases are reported in Customer Contract Report (CCR) on Monthly basis"
71,6. After care,Contract termination,Metrics,Experience,Exit reasons by type,Number of exits categorized,CX (Akhil),Identification of most common reasons for clients to exit,Yes,"Currently manual tracking, added in CRM",,,Customer satisfaction,,
72,6. After care,Contract termination,Metrics,Behavioral,Pre-churn signals,Composite of leading indicators: order decline >20%; payment delays >30 days; complaint spike,CX / Finance,Early warning system; allows intervention before the customer formally leaves,Yes,"Red Flag Review, No Sales for 3 Months , Declining in Collection, Non Adherance to Payment Terms etc",PBI,weekly / Monthly,,,
73,6. After care,Contract termination,Metrics,Behavioral,Exit survey completion rate,% of churning customers who complete the exit survey,CX (Akhil),Low completion = blind churn; you don't know why they left,No,To be added in CRM,,,Customer satisfaction,,
74,6. After care,Asset removal,Metrics,Operational,Equipment retrieval time,Days from contract end to equipment collection,Operations (Shivam / Samriddhi)/Sales/ technical,Uncollected equipment is an asset sitting idle; delays suggest process gaps,No,Equipement collection (cylinder) within 7-10 days;,,No,,,